Location,Sample,id,"leaf_apex_angle","dist_to_widest_leaf","leaf_l","leaf_w","w_non_revoluted_leaf","dist_from_widest_fruit","fruit_l","fruit_w","seed_l","seed_w","sepal_l","sepal_tip_l","sepal_w","old_petal_l","petal_l","old_petal_w","petal_w","stamen_l","anther_l_tubules","anther_l_no_tubules","style_l","bract_l","bract_w","stem_d","shoot_l","pedicel_l","dist_to_lower_bract"
QCWL,23,QCWL23,118.337,2.187,4.664,2.69,2.487,,9.478,9.305,1.475,1.013,1.929,0.463,1.194,6.245,6.245,1.955,1.955,5.232,4.03,1.688,6.217,1.116,0.151,0.391,45.5,24.9,5.289
QCWL,24,QCWL24,95.069,2.067,6.351,2.851,2.667,,12.408,10.571,2.303,1.116,2.19,0.659,1.431,5.181,5.861,2.07,1.987,4.876,3.408,1.696,5.829,1.281,0.212,0.359,11.5,16.038,8.186
QCWL,25,QCWL25,82.162,2.927,6.64,2.983,2.745,,,,,,1.845,0.877,,5.258,5.258,2.111,2.111,4.531,3.074,1.431,5.504,1.126,0.142,0.44,57.8,13.793,3.08
QCWR,01,QCWR01,93.453,1.802,4.456,1.893,1.713,,,,,,,,,5.383,5.408,1.785,1.832,3.931,2.745,1.156,5.488,1.284,0.31,0.332,47.7,18.03,8.69
QCWR,02,QCWR02,80.261,1.586,4.588,2.562,1.952,,,,,,,,,5.119,4.416,1.841,1.75,4.117,3.15,1.337,5.111,1.47,0.164,0.4,50.3,30.776,13.437
QCWR,03,QCWR03,90.889,1.971,5.805,2.384,1.63,,,,,,,,,5.036,6.088,2.456,2.424,4.863,3.721,1.886,6.152,1.385,0.236,0.421,28.9,23.999,6.066
QCWR,08,QCWR08,68.661,1.883,4.399,2.252,1.924,,,,,,1.327,0.541,1.151,4.899,5.066,1.761,2.06,,,,5.179,0.836,0.252,0.339,51.6,21.178,2.837
QCWR,10,QCWR10,99.771,1.704,4.076,2.421,2.163,,,,,,1.621,0.628,1.258,4.929,5.533,2.061,2.548,4.114,3.244,1.504,5.535,1.313,0.114,0.371,43.9,36.524,10.176
QCWR,14,QCWR14,69.207,2.291,5.342,2.189,1.698,,,,,,1.098,0.531,1.197,4.837,4.878,1.596,1.97,3.907,2.727,1.33,,1.176,0.37,0.373,42.3,17.54,8.401
QCWA,01,QCWA01,93.229,1.43,3.865,1.966,1.375,,,,,,1.745,0.406,1.332,5.203,4.861,2.172,1.975,3.047,1.848,1.119,,0.824,0.204,0.37,,25.199,8.288
QCWA,02,QCWA02,66.86,1.434,4.605,1.951,1.613,,,,,,,,,4.915,4.239,1.828,1.856,4.124,2.756,1.2,5.74,1.326,0.303,0.528,34.6,18.412,4.355
QCWA,03,QCWA03,68.823,1.598,4.203,1.724,1.422,,,,,,1.798,0.525,1.167,5.851,5.913,1.846,2.181,4.256,2.923,1.199,6.033,0.913,0.3,0.317,28.1,27.027,6.836
QCWA,04,QCWA04,100.442,1.844,5.369,2.656,2.214,,,,,,,0.582,,5.367,5.672,2.165,2.429,4.817,3.66,1.646,5.891,1.301,0.366,0.393,22.5,17,4.215
QCWA,05,QCWA05,77.422,2,4.728,2.143,1.775,,,,,,,,,4.974,4.818,1.625,1.181,3.745,2.407,1.15,4.975,1.117,0.181,0.431,45.1,7.831,2.704
QCWA,06,QCWA06,112.875,1.752,5.015,3.18,2.512,,,,,,,,,5.927,5.549,2.12,2.387,4.192,3.301,1.636,6.381,1.355,0.325,0.469,79.9,19.2,4.009
QCWA,07,QCWA07,95.666,2.422,5.68,2.769,2.125,,,,,,,,,4.656,4.254,1.517,1.833,5.122,3.974,1.742,4.904,1.488,0.41,0.378,36.2,19.758,7.566
QCWA,08,QCWA08,123.491,1.809,4.198,2.563,2.281,,,,,,1.46,0.71,,4.814,5.16,1.814,1.768,4.243,3.258,1.576,5.027,1.699,0.254,0.348,61,23.787,9.579
QCWA,09,QCWA09,67.605,1.909,4.528,1.766,1.299,,,,,,1.247,0.537,,5.16,5.502,1.945,2.049,3.859,2.559,1.066,5.642,1.012,0.289,0.355,58.4,26.219,6.045
QCWA,10,QCWA10,127.06,1.737,3.941,2.528,2.239,,,,,,,0.618,,4.207,4.906,1.905,1.823,4.207,2.322,0.969,4.937,1.385,0.204,0.431,18.6,13.646,5.967
QCWA,11,QCWA11,81.901,1.335,3.526,1.772,1.488,,,,,,1.825,0.535,1.294,5.353,5.878,2.232,2.418,3.903,2.681,1.157,6.362,1.082,0.348,0.325,49.9,26.579,10.284
QCWA,12,QCWA12,105.945,3.437,6.995,3.123,2.697,,,,,,,0.718,1.297,6.56,6.766,2.141,2.179,5.571,3.555,1.649,6.317,0.984,0.195,0.435,48.6,21.153,8.876
QCWA,13,QCWA13,68.758,1.941,5.057,2.301,1.768,,,,,,,,,4.248,5.915,1.142,2.766,4.711,3.911,1.915,5.939,1.567,0.193,0.353,29.3,33.38,12.056
QCWA,14,QCWA14,69.949,1.414,4.34,2.09,1.71,,,,,,,,,3.029,6.278,1.85,2.218,2.789,1.945,0.982,2.807,0.692,0.169,0.369,44.6,22.128,4.515
QCWA,15,QCWA15,100.718,1.447,4.891,2.84,2.04,,,,,,,,,5.193,4.343,2.136,2.074,4.539,3.668,1.652,6.082,1.663,0.417,0.379,58.2,7.809,3.373
QCWA,16,QCWA16,65.826,1.839,6.136,2.297,1.755,,,,,,1.088,0.375,1.098,4.134,4.134,1.459,1.459,,,,4.793,0.947,0.166,0.407,70.3,15.318,2.861
QCWA,17,QCWA17,118.64,2.105,4.788,3.215,2.649,,,,,,1.784,0.595,1.225,5.951,6.305,2.776,2.075,4.539,3.585,1.252,5.508,1.209,0.355,0.579,43.7,25.861,18.195
QCWA,18,QCWA18,73.6,1.168,4.619,1.783,1.136,,,,,,2.256,0.51,1.008,4.846,4.846,1.634,1.634,5.485,3.993,1.861,5.099,0.697,0.189,0.28,62.1,8.973,0.81
QCWA,19,QCWA19,90.838,1.432,3.97,1.901,1.437,,,,,,1.304,0.424,1.299,5.028,5.62,1.884,1.978,4.812,3.409,1.551,5.771,1.08,0.152,0.362,44.5,22.124,9.138
QCWA,20,QCWA20,99.009,1.152,3.682,2.279,1.767,,,,,,2.082,0.893,1.437,5.197,5.705,2.051,2.135,4.927,3.423,1.702,5.606,0.981,0.127,0.295,33.3,31.358,7.506
QCWA,21,QCWA21,80.816,1.076,3.065,1.568,1.252,,,,,,1.462,0.555,0.942,4.437,4.437,1.769,1.769,3.605,2.226,1.081,4.662,0.855,0.645,0.326,23.4,19.768,5.926
QCWA,22,QCWA22,82.173,1.413,3.619,1.799,1.229,,,,,,1.535,0.655,1.134,4.224,4.841,1.577,1.903,3.486,2.682,1.246,4.819,1.165,0.212,0.298,19.7,18.509,6.421
QCWA,23,QCWA23,104.571,2.184,5.13,2.913,2.488,,,,,,1.534,0.501,1.024,5.995,5.837,2.964,1.948,4.292,3.035,1.532,5.699,1.013,0.383,0.366,51.3,20.518,10.705
QCWA,24,QCWA24,125.364,1.971,4.542,2.989,2.455,,,,,,2.032,0.954,1.509,4.91,5.196,1.887,2.249,4.315,3.507,1.644,5.861,1.369,0.155,0.362,45.6,24.128,9.379
QCWA,25,QCWA25,62.186,1.68,5.022,2.066,1.761,,,,,,1.644,0.584,1.258,4.263,5.115,1.9,2.141,3.77,2.65,1.162,5.331,0.937,0.116,0.362,53.3,25.576,8.151
QCJB,01,QCJB01,119.603,1.781,3.846,2.199,1.752,,,,,,,,,4.566,4.411,1.447,1.802,3.579,2.457,1.058,5.006,0.989,0.167,0.288,15.8,17.758,
QCJB,02,QCJB02,81.812,1.43,4.572,1.848,1.655,,,,,,1.27,0.716,1.088,4.341,4.37,1.446,1.355,3.445,2.439,1.125,4.37,1.16,0.152,0.374,20.6,22.223,
QCJB,03,QCJB03,89.263,1.365,3.347,1.773,1.453,,8.132,7.652,1.211,0.605,1.782,0.464,1.246,5.013,5.48,1.779,1.658,3.717,2.315,0.894,5.469,1.031,0.236,0.274,46.4,21.214,
QCJB,04,QCJB04,71.872,1.577,4.173,2.122,1.64,,,,,,1.948,0.518,1.309,4.515,4.515,1.846,1.846,3.725,2.624,1.029,4.816,0.852,0.084,0.371,30.1,27.457,
QCJB,05,QCJB05,99.462,1.343,3.224,1.855,1.554,,8.78,6.97,1.375,0.531,,,,4.134,4.101,1.738,1.668,3.299,2.314,0.876,4.661,0.766,0.289,0.259,24.2,14.605,
QCJB,06,QCJB06,89.574,1.303,3.588,2.28,2.173,,6.49,6.51,,,,0.449,1.097,4.25,4.941,1.93,1.758,3.408,1.854,0.723,4.466,1.113,0.229,0.472,26.8,15.741,
QCJB,07,QCJB07,83.834,1.444,3.739,2.394,1.803,,,,,,1.735,0.586,1.566,4.444,4.707,1.637,1.717,3.692,2.496,0.949,4.895,1.007,0.366,0.332,44.2,19.692,
QCJB,08,QCJB08,75.044,1.532,4.187,1.998,1.686,,,,,,1.492,0.741,1.238,5.345,5.42,1.841,2.204,3.433,2.408,0.908,5.178,1.013,0.149,0.388,23.6,17.921,
QCJB,09,QCJB09,43.217,1.917,4.988,2.1,1.778,,,,,,2.023,0.751,1.21,5.904,5.904,2.045,2.045,4.053,2.947,1.05,5.625,1.792,0.301,0.253,41.1,26.149,
QCJB,10,QCJB10,75.483,1.343,3.359,1.81,1.421,,6.225,6.386,0.989,0.593,1.167,0.448,1.057,3.993,4.138,1.175,1.402,2.641,1.9,0.808,4.357,0.709,0.209,0.255,59.8,12.47,
QCJB,11,QCJB11,104.612,1.726,4.48,3.094,2.341,,10.45,10.581,,,,,,5.075,5.575,1.971,2.232,3.87,2.923,1.293,5.05,1.631,0.205,0.34,37.1,12.731,
QCJB,12,QCJB12,101.663,1.512,3.592,2.502,1.914,,10.512,11.704,1.382,0.698,1.329,0.634,,4.204,4.457,1.641,1.75,2.868,1.912,0.791,4.725,1.058,0.395,0.474,62.6,10.294,
QCJB,13,QCJB13,58.145,1.451,3.603,1.808,1.43,,10.964,9.24,1.502,0.826,1.837,0.543,1.248,4.126,4.126,1.439,1.439,3.364,2.423,1.129,4.189,1.243,0.447,0.368,22.8,12.214,
QCJB,14,QCJB14,97.252,1.635,3.631,1.957,1.462,,5.618,5.751,1.5,0.571,,,,3.578,4.469,1.446,1.468,3.448,2.468,1.087,4.678,0.977,0.245,0.361,15.5,9.584,
QCJB,15,QCJB15,108.962,2.129,4.556,2.843,2.179,,11.85,11.731,1.527,0.852,,,,6.147,6.231,1.996,2.076,4.301,3.172,1.599,6.218,1.428,0.312,0.349,52.1,20.1,
QCJB,16,QCJB16,69.396,1.366,3.599,1.872,1.23,,7.497,6.613,,,,,,4.313,4.685,2.237,2.402,3.529,2.603,0.993,5.184,0.84,0.235,0.269,33.3,15.496,
QCJB,17,QCJB17,75.766,1.596,3.713,1.771,1.771,,,,,,1.724,0.546,1.483,4.381,4.644,1.867,1.963,3.681,2.481,1.128,5.293,0.657,0.128,0.245,10.3,18.89,
QCJB,18,QCJB18,95.925,2.088,4.805,2.77,2.508,,9.308,7.325,1.066,0.541,,,,5.591,5.75,2.763,2.822,4.481,3.413,1.632,5.935,1.433,0.423,0.455,36.4,21.848,
QCJB,19,QCJB19,81.95,1.808,4.136,2.041,1.585,,7.03,6.472,1.301,0.831,,,,4.801,4.902,1.38,1.422,4.099,2.994,1.314,5.082,1.382,0.235,0.258,27.1,8.259,
QCJB,20,QCJB20,93.842,1.338,3.337,1.562,1.052,,6.287,5.874,,,,,,4.294,4.5,1.714,1.918,3.342,2.202,0.961,4.575,0.872,0.22,0.217,25.9,13.967,
QCJB,21,QCJB21,65.327,1.532,4.104,1.742,1.247,,7.418,6.865,,,1.846,0.559,1.175,4.819,5.304,2.166,2.282,3.914,2.56,1.167,5.317,0.89,0.188,0.362,28.6,19.648,
QCJB,22,QCJB22,71.033,1.352,3.58,2.305,1.727,,,,,,1.605,0.467,1.072,,,,,3.602,2.305,1.061,4.668,1.054,0.149,0.283,20.4,11.463,
QCJB,23,QCJB23,56.105,1.757,4.381,1.731,1.483,,,,,,,,,4.571,4.016,1.825,2.051,2.657,1.704,0.871,5.023,0.963,0.258,0.402,62.6,21.364,
QCJB,24,QCJB24,92.305,1.764,4.162,2.094,1.849,,,,,,1.843,0.73,1.286,4.187,4.547,1.911,1.819,2.515,1.961,0.871,4.479,0.938,0.269,0.328,45.7,15.833,
QCJB,25,QCJB25,76.47,1.694,4.01,2.018,1.769,,,,,,1.263,0.534,,5.327,5.74,2.121,2.101,3.805,2.384,0.98,5.564,0.976,0.14,0.331,44.4,23.826,
QCMI,01,QCMI01,66.588,2.55,5.177,2.409,1.947,,,,,,,0.936,,6.149,6.509,2.207,2.308,4.642,3.034,1.474,5.617,1.127,0.231,0.381,42,23.18,
QCMI,02,QCMI02,103.173,1.794,3.916,2.424,1.933,,,,,,,,,4.687,4.73,2.584,2.209,3.839,3.125,1.554,5.417,1.248,0.384,0.361,56.1,26.09,
QCMI,03,QCMI03,71.892,1.682,4.233,1.959,1.123,,,,,,,,,4.643,4.744,1.488,1.509,3.632,3.103,1.467,4.503,1.128,0.213,0.281,33.9,23.413,
QCMI,04,QCMI04,103.47,1.366,3.256,2.145,1.535,,,,,,,0.42,1.15,5.258,5.66,1.566,2.42,4.7,3.371,1.657,4.915,1.331,0.137,0.415,28.3,21.636,
QCMI,05,QCMI05,106.148,1.645,3.848,2.308,1.825,,,,,,,,,4.748,5.612,2.228,2.065,4.248,2.892,1.168,5.002,1.905,0.307,0.297,51.5,23.685,
QCMI,06,QCMI06,111.609,1.727,3.697,2.415,1.865,,,,,,,,,3.998,5.674,2.003,2.316,3.795,3.297,1.593,4.09,1.268,0.265,0.36,28.3,18.138,
QCMI,07,QCMI07,108.833,1.573,3.861,2.261,1.834,,7.722,6.914,,,,,,3.907,4.516,2.376,1.789,3.245,2.988,1.529,4.405,1.342,0.178,0.369,42.3,23.509,
QCMI,08,QCMI08,97.777,1.45,4.12,2.497,1.854,,,,,,,,,4.12,5.175,1.906,2.239,3.928,3.333,1.729,5.093,0.747,0.266,0.411,36.5,17.774,
QCMI,09,QCMI09,66.684,2.214,4.627,2.147,1.693,,,,,,,0.697,1.428,6.062,6.375,1.8,1.804,5.437,4.194,1.967,5.699,1.293,0.184,0.363,27.3,25.485,
QCMI,10,QCMI10,88.637,1.489,4.163,1.741,1.291,,9.166,7.888,2.007,0.735,,0.606,1.278,4.637,6.093,1.399,2.212,4.557,3.11,1.531,5.424,1.117,0.119,0.328,31,20.049,
QCMI,11,QCMI11,89.519,1.928,4.402,2.185,1.611,,10.569,9.705,1.657,0.859,1.955,0.784,1.522,5.564,6.013,1.789,1.881,5.244,3.587,1.673,6.705,1.427,0.197,0.437,67.2,27.937,
QCMI,12,QCMI12,112.066,1.783,4.25,2.641,2.056,,,,,,,,,5.679,6.128,2.372,1.931,5.12,3.679,1.754,5.095,0.979,0.224,0.38,57.2,18.018,
QCMI,13,QCMI13,119.995,1.798,3.791,2.195,1.701,,,,,,,,,4.157,6.022,2.326,2.343,4.552,3.344,1.52,6.353,0.724,0.161,0.323,53.7,19.476,
QCMI,14,QCMI14,117.238,1.21,3.347,1.898,1.368,,,,,,,0.492,1.283,4.569,5.509,1.121,2.196,4.59,3.311,1.615,5.824,1.176,0.131,0.402,13.5,20.742,
QCMI,15,QCMI15,107.988,1.234,3.608,2.379,1.764,,10.161,9.044,1.693,0.972,,,,5.356,5.715,1.333,2.053,4.713,3.215,1.424,5.892,1.102,0.133,0.384,50.3,23.751,
QCLR,01,QCLR01,67.654,1.593,5.386,1.917,1.644,,,,,,,,,5.738,,1.867,,4.36,3.152,1.481,6.306,1.011,0.179,0.394,26.9,24.464,
QCLR,02,QCLR02,94.294,2.536,5.74,2.841,2.592,,,,,,,,,5.629,,2.422,,5.026,3.746,1.91,5.122,1.493,0.406,0.469,79.6,6.797,
QCLR,03,QCLR03,75.379,2.241,6.472,2.916,2.354,,,,,,,,,5.307,,2.47,,5.206,3.422,1.793,5.915,0.78,0.282,0.501,32.6,32.212,
QCLR,04,QCLR04,87.916,1.974,4.518,2.129,1.872,,,,,,,,,3.632,,1.687,,3.535,2.644,1.466,4.03,1.501,0.14,0.381,46.1,12.422,
QCLR,05,QCLR05,83.212,3.91,6.622,3.552,2.787,,,,,,,,,5.525,,2.452,,5.2,3.516,1.529,7.174,1.543,0.329,0.511,86.1,22.879,
QCER,01,QCER01,70.75,1.844,5.078,2.706,2.115,,,,,,,,,5.326,5.971,2.342,2.111,4.6,3.552,1.599,5.801,1.316,0.147,0.404,36.8,21.568,
QCER,02,QCER02,65.818,1.885,4.815,1.991,1.513,,,,,,,,,5.619,5.248,1.834,1.897,4.24,3.511,1.621,5.821,1.442,0.144,0.372,55.6,20.069,
QCER,03,QCER03,98.267,2.58,5.697,2.903,2.743,,,,,,,,,5.038,5.145,2.461,2.996,4.648,3.62,1.733,5.891,0.852,0.125,0.383,48.1,28.927,
QCER,04,QCER04,85.841,2.283,4.858,2.725,2.117,,,,,,,,,6.246,6.329,2.107,1.843,5.205,3.956,1.795,6.746,1.611,0.16,0.377,40.2,33.065,
QCER,05,QCER05,57.152,1.931,4.282,2.307,1.943,,,,,,,,,4.795,4.645,2.286,2.123,3.532,2.77,1.192,6.007,1.157,0.225,0.39,96.8,36.722,
QCER,06,QCER06,87.598,2.603,4.68,1.844,1.844,,,,,,,,,6.105,6.329,1.573,2.291,5.304,3.81,1.942,5.813,1.657,0.193,0.324,29.4,28.374,
QCER,07,QCER07,96.256,2.139,4.515,2.32,1.728,,,,,,2.082,0.769,1.387,5.489,6.173,2.23,2.206,4.764,2.869,1.182,6.266,1.891,0.142,0.416,30.7,30.311,
QCER,08,QCER08,80.207,2.735,5.733,2.575,2.196,,12.012,10.137,1.394,0.698,,,,5.454,5.492,2.429,2.584,3.467,2.118,1.213,6.309,1.218,0.217,0.429,19.9,21.047,
QCER,09,QCER09,98.437,1.45,3.982,2.125,1.636,,,,,,,,,4.238,4.629,2.105,2.658,3.993,2.453,1.473,4.589,1.668,0.213,0.286,33.7,19.287,
QCER,10,QCER10,78.462,1.728,4.56,2.54,2.068,,,,,,1.214,0.558,,5.276,5.121,1.805,1.822,4.507,3.324,1.329,5.572,0.82,0.156,0.291,57.9,12.059,
QCER,11,QCER11,84.342,2.256,5.65,2.553,2.321,,7.26,6.681,,,2.154,0.443,1.595,5.971,5.767,1.906,2.188,4.722,3.365,1.634,6.682,1.273,0.248,0.444,53.9,25.753,
QCER,12,QCER12,104.09,2.017,4.3,2.41,1.942,,,,,,,,,4.04,4.795,1.775,1.928,3.341,2.657,1.239,5.154,0.87,0.155,0.329,33.1,29.695,
QCER,13,QCER13,97.266,1.24,3.235,1.979,1.441,,,,,,,,,5.806,4.95,2.042,1.544,4.856,3.301,1.662,6.137,1.52,0.172,0.325,26.9,25.514,
QCER,14,QCER14,116.852,1.915,4.515,2.333,1.636,,,,,,,,,4.703,4.654,2.042,2.19,4.063,3.357,1.714,4.425,0.984,0.167,0.448,21,21.336,
